,level_0,index,song,artist
608,4519,8036,the ground below,run the jewels
609,661,5079,momma i hit a lick,2 chainz
610,1561,3888,higher power,coldplay
611,3138,6478,eazy  what if,g
612,2368,8498,electric,katy perry
613,899,8243,we got the power,gorillaz
614,4325,3237,ay!,machine gun kelly
615,3767,3972,wrong,the kid laroi
616,1351,8177,drowns the whiskey,jason aldean
617,4981,9454,fading,rod wave
618,4561,10274,heart in pieces,future
619,823,7974,the way,ariana grande
620,3154,3739,chill bill remix,rob $tone
621,564,6976,stand by you,rachel platten
622,4855,4272,gold stacks,future
623,2938,4125,sorry,beyoncé
624,1153,447,stargazing,travis scott
625,2430,10748,drippin',young thug
626,2030,8876,big shot,gunna
627,1082,4783,go,huncho jack
628,2365,6905,100 shots,nle choppa
629,2370,7748,goodbye,who is fancy
630,4025,1597,"big bank feat. 2 chainz, big sean, nicki minaj",yg
631,1803,7897,bite me,avril lavigne
632,2947,3770,got the guap,lil uzi vert
633,2587,4253,over your head,future
634,219,10227,down,marshmello
635,3067,3576,shottas (lala),moneybagg yo
636,954,3693,bussin,nicki minaj
637,1225,3498,mixtape,chance the rapper
638,3443,5767,umm hmm,youngboy never broke again
639,2007,9189,please,chelsea cutler
640,1575,5879,like woah,logic
641,265,3233,bibia be ye ye,ed sheeran
642,4884,3313,in da club,50 cent
643,1297,8807,the chase,anderson .paak
644,2790,3784,cruel intentions,delacey
645,1890,8959,smoke my dope,lil pump
646,2448,4025,norman fucking rockwell,lana del rey
647,122,1416,big gangsta,kevin gates
648,1556,1855,someone like you,adele
649,1274,5292,inspire me,big sean
650,2252,595,relationship,young thug
651,711,6619,come through and chill,miguel
652,1661,806,p r i d e . i s . t h e . d e v i l,j. cole
653,4253,2641,scared to live,the weeknd
654,4573,21,better now,post malone
655,4520,9653,what if,kevin gates
656,1966,7554,iphone,trippie redd
657,638,9180,count on me (intro),nav
658,3940,2191,imy2,drake
659,3873,7142,sugar (remix),brockhampton
660,3384,8113,on that time,playboi carti
661,1162,1625,tsu,drake
662,4375,9784,welcome back,ali gatie
663,3242,353,motorsport,migos
664,4359,4238,satish,tee grizzley
665,1666,8117,x gon' give it to ya  int'l bonus track,dmx
666,3850,4846,there he go,dababy
667,1137,3196,p*$$y fairy (otw),jhené aiko
668,2340,5841,the outside,twenty one pilots
669,4783,10749,day drinking,little big town
670,1586,9096,crash the party,roddy ricch
671,3388,10868,defector,muse
672,2116,3103,a keeper,drake
673,1657,8346,the news,partynextdoor
674,3805,9604,"intro (migos, lil yachty feat. gucci mane)",quality control
675,4503,8968,sorry,rick ross
676,4433,9118,hope  stop,j
677,4338,392,7 summers,morgan wallen
678,4038,7656,don't touch my hair,solange
679,4621,5685,bartender,lady a
680,1524,5694,bossanova,lil tecca
681,4926,3678,flawless remix,beyoncé
682,1287,1413,"would've, could've, should've",taylor swift
683,169,10089,californication,red hot chili peppers
684,4095,5906,classic,meek mill
685,480,3357,gnf (okokok),polo g
686,3610,1308,volví,aventura
687,4154,9840,laneswitch,lil tjay
688,728,3068,confessions of a dangerous mind,logic
689,1462,466,praise the lord (da shine),a$ap rocky
690,1567,4143,backyard boy,claire rosinkranz
691,558,4294,say it first,sam smith
692,4438,11061,doeactive,a$ap ferg
693,2625,10722,to d.r.e.a.m.,tory lanez
694,3619,2816,bubblegum bitch,marina
695,4458,1616,why'd you only call me when you're high?,arctic monkeys
696,4908,1552,santa baby,ariana grande
697,1140,10271,christmas eve  recorded at spotify studios nyc,kelly clarkson
698,4559,2954,intro,j. cole
699,500,2359,not going home,dvbbs
700,862,8615,lonely,rm
701,2870,8940,54321,offset
702,2487,1731,good old days,macklemore
703,3194,4027,wasted time,keith urban
704,3960,7594,tussin,nav
705,3877,1412,"baby, it's cold outside",brett eldredge
706,1956,5000,that funny feeling,bo burnham
707,4998,4095,disrespectful,21 savage
708,1232,816,dusk till dawn,zayn
709,60,6509,be yourself,trippie redd
710,3666,705,big rings,drake
